,RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
RowNumber,1.0,0.004201793589117236,0.005840161603577083,0.0007826142140615404,-0.006494740413340737,-0.009066685224007599,0.007246245023240859,0.0005987465250874225,0.01204439006199629,-0.0059884565552547515,-0.016571371463984966
CustomerId,0.004201793589117236,1.0,0.005307900604412735,0.009496867199703501,-0.014882553918484809,-0.012418700275205082,0.016971877134930008,-0.01402513032557391,0.0016649648401758502,0.015270680744753684,-0.006247986637827078
CreditScore,0.005840161603577083,0.005307900604412735,1.0,-0.003964905525390104,0.0008419418186461318,0.0062683816160088975,0.012237879283267987,-0.005458482094623394,0.0256513232831485,-0.0013842928679844149,-0.02709353975465728
Age,0.0007826142140615404,0.009496867199703501,-0.003964905525390104,1.0,-0.009996825590774179,0.028308368327491767,-0.030680087961508614,-0.011721029001738782,0.08547214540357692,-0.007201042376657382,0.2853230378350698
Tenure,-0.006494740413340737,-0.014882553918484809,0.0008419418186461318,-0.009996825590774179,1.0,-0.012253926175215429,0.013443755460747366,0.022582867284984258,-0.02836207777162841,0.007783825455810554,-0.01400061225344462
Balance,-0.009066685224007599,-0.012418700275205082,0.0062683816160088975,0.028308368327491767,-0.012253926175215429,1.0,-0.3041797383605498,-0.0148583449445987,-0.010084100438351628,0.012797496340555773,0.11853276877163399
NumOfProducts,0.007246245023240859,0.016971877134930008,0.012237879283267987,-0.030680087961508614,0.013443755460747366,-0.3041797383605498,1.0,0.00318314599305221,0.00961187591132792,0.014204195129094608,-0.04781986494944065
HasCrCard,0.0005987465250874225,-0.01402513032557391,-0.005458482094623394,-0.011721029001738782,0.022582867284984258,-0.0148583449445987,0.00318314599305221,1.0,-0.011865636878457913,-0.009933414652547745,-0.007137765603039006
IsActiveMember,0.01204439006199629,0.0016649648401758502,0.0256513232831485,0.08547214540357692,-0.02836207777162841,-0.010084100438351628,0.00961187591132792,-0.011865636878457913,1.0,-0.01142143048495656,-0.15612827818890554
EstimatedSalary,-0.0059884565552547515,0.015270680744753684,-0.0013842928679844149,-0.007201042376657382,0.007783825455810554,0.012797496340555773,0.014204195129094608,-0.009933414652547745,-0.01142143048495656,1.0,0.012096861026844652
Exited,-0.016571371463984966,-0.006247986637827078,-0.02709353975465728,0.2853230378350698,-0.01400061225344462,0.11853276877163399,-0.04781986494944065,-0.007137765603039006,-0.15612827818890554,0.012096861026844652,1.0
